isic_id,path,downloaded,bytes,error
ISIC_0000157,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000157.jpg,True,8612,
ISIC_0000163,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000163.jpg,True,9178,
ISIC_0000142,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000142.jpg,True,9992,
ISIC_0000046,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000046.jpg,True,8351,
ISIC_0000049,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000049.jpg,True,10058,
ISIC_0000145,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000145.jpg,True,9099,
ISIC_0000146,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000146.jpg,True,10197,
ISIC_0000151,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000151.jpg,True,6852,
ISIC_0000162,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000162.jpg,True,9390,
ISIC_0000000,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000000.jpg,True,8223,
ISIC_0000173,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000173.jpg,True,12512,
ISIC_0000171,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000171.jpg,True,11339,
ISIC_0000156,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000156.jpg,True,10243,
ISIC_0000139,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000139.jpg,True,8968,
ISIC_0000154,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000154.jpg,True,8891,
ISIC_0000135,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000135.jpg,True,7263,
ISIC_0000006,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000006.jpg,True,8109,
ISIC_0000148,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000148.jpg,True,8968,
ISIC_0000220,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000220.jpg,True,9260,
ISIC_0000081,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000081.jpg,True,7246,
ISIC_0000077,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000077.jpg,True,7991,
ISIC_0000028,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000028.jpg,True,8620,
ISIC_0000026,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000026.jpg,True,7276,
ISIC_0000143,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000143.jpg,True,8808,
ISIC_0000264,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000264.jpg,True,10837,
ISIC_0000170,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000170.jpg,True,10334,
ISIC_0000159,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000159.jpg,True,9393,
ISIC_0000175,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000175.jpg,True,8124,
ISIC_0000147,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000147.jpg,True,10900,
ISIC_0000002,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000002.jpg,True,9399,
ISIC_0000074,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000074.jpg,True,12867,
ISIC_0000054,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000054.jpg,True,7913,
ISIC_0000140,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000140.jpg,True,10089,
ISIC_0000030,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000030.jpg,True,9793,
ISIC_0000004,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_470\thumbnails_256\ISIC_0000004.jpg,True,8776,
