isic_id,path,downloaded,bytes,error
ISIC_0034535,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034535.jpg,True,9976,
ISIC_0034549,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034549.jpg,True,8651,
ISIC_0034545,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034545.jpg,True,8286,
ISIC_0034528,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034528.jpg,True,7949,
ISIC_0034524,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034524.jpg,True,7014,
ISIC_0034527,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034527.jpg,True,9741,
ISIC_0034553,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034553.jpg,True,10779,
ISIC_0034530,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034530.jpg,True,9143,
ISIC_0034542,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034542.jpg,True,9133,
ISIC_0034533,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034533.jpg,True,14855,
ISIC_0034536,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034536.jpg,True,8891,
ISIC_0034532,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034532.jpg,True,8485,
ISIC_0034525,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034525.jpg,True,6648,
ISIC_0034543,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034543.jpg,True,6655,
ISIC_0034547,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034547.jpg,True,9791,
ISIC_0034526,C:\Users\joshd\Documents\OpenSpecialtyRiskAtlas\06_dermatology_isic_ham10000\data_raw\isic_collection_67\thumbnails_256\ISIC_0034526.jpg,True,9443,
